     E:042/300 #B:015, t=017.44m, L=09.5261, ACC : S_TRN= 98.28%, T_TRN= 82.97%, S_TST= 84.21%, T_TST= 82.40%
  ++ E:043/300 #B:015, t=017.72m, L=09.5075, ACC : S_TRN= 99.01%, T_TRN= 82.29%, S_TST= 84.30%, T_TST= 82.87%
     E:044/300 #B:015, t=018.29m, L=09.5287, ACC : S_TRN= 98.75%, T_TRN= 84.17%, S_TST= 84.39%, T_TST= 82.64%
     E:045/300 #B:015, t=018.60m, L=09.5194, ACC : S_TRN= 98.91%, T_TRN= 82.08%, S_TST= 84.34%, T_TST= 82.61%
     E:046/300 #B:015, t=018.89m, L=09.5097, ACC : S_TRN= 98.80%, T_TRN= 82.08%, S_TST= 84.28%, T_TST= 82.73%
     E:047/300 #B:015, t=019.20m, L=09.5130, ACC : S_TRN= 98.91%, T_TRN= 81.88%, S_TST= 84.21%, T_TST= 82.66%
     E:048/300 #B:015, t=019.52m, L=09.4766, ACC : S_TRN= 99.17%, T_TRN= 83.85%, S_TST= 84.10%, T_TST= 82.78%
     E:049/300 #B:015, t=019.85m, L=09.5043, ACC : S_TRN= 99.01%, T_TRN= 81.77%, S_TST= 84.14%, T_TST= 82.86%
     E:050/300 #B:015, t=020.20m, L=09.5155, ACC : S_TRN= 99.17%, T_TRN= 82.45%, S_TST= 84.17%, T_TST= 82.86%
  ++ E:051/300 #B:015, t=020.51m, L=09.4863, ACC : S_TRN= 99.06%, T_TRN= 82.97%, S_TST= 84.23%, T_TST= 82.93%
  ++ E:052/300 #B:015, t=021.06m, L=09.4853, ACC : S_TRN= 99.32%, T_TRN= 81.93%, S_TST= 84.14%, T_TST= 83.07%
     E:053/300 #B:015, t=021.61m, L=09.4828, ACC : S_TRN= 99.06%, T_TRN= 83.80%, S_TST= 84.05%, T_TST= 82.98%
     E:054/300 #B:015, t=021.93m, L=09.4747, ACC : S_TRN= 99.11%, T_TRN= 81.25%, S_TST= 83.90%, T_TST= 82.71%
     E:055/300 #B:015, t=022.22m, L=09.4539, ACC : S_TRN= 99.38%, T_TRN= 81.35%, S_TST= 83.96%, T_TST= 82.86%
     E:056/300 #B:015, t=022.55m, L=09.4646, ACC : S_TRN= 99.74%, T_TRN= 83.59%, S_TST= 83.90%, T_TST= 82.89%
     E:057/300 #B:015, t=022.82m, L=09.4687, ACC : S_TRN= 98.80%, T_TRN= 81.61%, S_TST= 83.99%, T_TST= 82.75%
     E:058/300 #B:015, t=023.21m, L=09.4657, ACC : S_TRN= 98.91%, T_TRN= 81.82%, S_TST= 83.87%, T_TST= 82.84%
     E:059/300 #B:015, t=023.55m, L=09.4747, ACC : S_TRN= 99.11%, T_TRN= 81.77%, S_TST= 83.87%, T_TST= 82.71%
