  ++ E:033/300 #B:015, t=010.71m, L=08.4964, ACC : S_TRN= 98.96%, T_TRN= 78.02%, S_TST= 83.47%, T_TST= 82.21%
  ++ E:034/300 #B:015, t=011.11m, L=08.4966, ACC : S_TRN= 99.69%, T_TRN= 78.49%, S_TST= 83.58%, T_TST= 82.29%
  ++ E:035/300 #B:015, t=011.47m, L=08.4901, ACC : S_TRN= 99.22%, T_TRN= 79.53%, S_TST= 83.49%, T_TST= 82.35%
  ++ E:036/300 #B:015, t=011.90m, L=08.4725, ACC : S_TRN= 99.32%, T_TRN= 78.85%, S_TST= 83.58%, T_TST= 82.40%
     E:037/300 #B:015, t=012.32m, L=08.4664, ACC : S_TRN= 99.01%, T_TRN= 79.01%, S_TST= 83.43%, T_TST= 82.15%
     E:038/300 #B:015, t=012.50m, L=08.4653, ACC : S_TRN= 99.01%, T_TRN= 78.75%, S_TST= 83.38%, T_TST= 82.10%
     E:039/300 #B:015, t=012.70m, L=08.4666, ACC : S_TRN= 99.58%, T_TRN= 78.49%, S_TST= 83.38%, T_TST= 82.29%
     E:040/300 #B:015, t=012.90m, L=08.4791, ACC : S_TRN= 99.43%, T_TRN= 78.91%, S_TST= 83.58%, T_TST= 82.29%
     E:041/300 #B:015, t=013.09m, L=08.4625, ACC : S_TRN= 99.32%, T_TRN= 79.11%, S_TST= 83.29%, T_TST= 82.15%
     E:042/300 #B:015, t=013.29m, L=08.4688, ACC : S_TRN= 99.79%, T_TRN= 77.81%, S_TST= 83.23%, T_TST= 82.18%
     E:043/300 #B:015, t=013.50m, L=08.4502, ACC : S_TRN= 99.32%, T_TRN= 80.68%, S_TST= 83.40%, T_TST= 82.32%
     E:044/300 #B:015, t=013.73m, L=08.4559, ACC : S_TRN= 99.43%, T_TRN= 81.04%, S_TST= 83.45%, T_TST= 82.29%
     E:045/300 #B:015, t=013.94m, L=08.4555, ACC : S_TRN= 99.64%, T_TRN= 77.71%, S_TST= 83.52%, T_TST= 82.29%
     E:046/300 #B:015, t=014.20m, L=08.4469, ACC : S_TRN= 99.64%, T_TRN= 79.74%, S_TST= 83.38%, T_TST= 82.29%
  ++ E:047/300 #B:015, t=014.45m, L=08.4629, ACC : S_TRN= 99.69%, T_TRN= 78.23%, S_TST= 83.29%, T_TST= 82.57%
     E:048/300 #B:015, t=014.81m, L=08.4405, ACC : S_TRN= 99.64%, T_TRN= 79.01%, S_TST= 83.40%, T_TST= 82.35%
     E:049/300 #B:015, t=015.04m, L=08.4380, ACC : S_TRN= 99.79%, T_TRN= 77.40%, S_TST= 83.20%, T_TST= 82.46%
     E:050/300 #B:015, t=015.29m, L=08.4368, ACC : S_TRN= 99.69%, T_TRN= 79.06%, S_TST= 83.31%, T_TST= 82.26%
     E:051/300 #B:015, t=015.62m, L=08.4467, ACC : S_TRN= 99.69%, T_TRN= 77.19%, S_TST= 83.20%, T_TST= 82.49%
     E:052/300 #B:015, t=015.89m, L=08.4396, ACC : S_TRN= 99.64%, T_TRN= 79.06%, S_TST= 83.29%, T_TST= 82.40%
  ++ E:053/300 #B:015, t=016.14m, L=08.4390, ACC : S_TRN= 99.79%, T_TRN= 79.17%, S_TST= 83.25%, T_TST= 82.63%
     E:054/300 #B:015, t=016.62m, L=08.4260, ACC : S_TRN= 99.79%, T_TRN= 79.64%, S_TST= 83.18%, T_TST= 82.40%
     E:055/300 #B:015, t=016.83m, L=08.4280, ACC : S_TRN= 99.90%, T_TRN= 79.79%, S_TST= 83.18%, T_TST= 82.54%
     E:056/300 #B:015, t=017.09m, L=08.4128, ACC : S_TRN= 99.84%, T_TRN= 79.95%, S_TST= 83.07%, T_TST= 82.35%
     E:057/300 #B:015, t=017.32m, L=08.4279, ACC : S_TRN= 99.64%, T_TRN= 79.58%, S_TST= 83.29%, T_TST= 82.38%
     E:058/300 #B:015, t=017.53m, L=08.4264, ACC : S_TRN= 99.84%, T_TRN= 78.07%, S_TST= 83.16%, T_TST= 82.35%
     E:059/300 #B:015, t=017.77m, L=08.4196, ACC : S_TRN= 99.90%, T_TRN= 78.59%, S_TST= 83.20%, T_TST= 82.21%
     E:060/300 #B:015, t=018.02m, L=08.4175, ACC : S_TRN= 99.79%, T_TRN= 79.06%, S_TST= 83.16%, T_TST= 82.29%
     E:061/300 #B:015, t=018.24m, L=08.4126, ACC : S_TRN= 99.90%, T_TRN= 79.11%, S_TST= 83.18%, T_TST= 82.29%
     E:062/300 #B:015, t=018.47m, L=08.4180, ACC : S_TRN= 99.84%, T_TRN= 80.68%, S_TST= 83.23%, T_TST= 82.26%
     E:063/300 #B:015, t=018.69m, L=08.4285, ACC : S_TRN= 99.74%, T_TRN= 80.42%, S_TST= 83.11%, T_TST= 82.10%
     E:064/300 #B:015, t=018.92m, L=08.4086, ACC : S_TRN= 99.95%, T_TRN= 78.96%, S_TST= 83.18%, T_TST= 82.21%
     E:065/300 #B:015, t=019.18m, L=08.4104, ACC : S_TRN= 99.90%, T_TRN= 78.59%, S_TST= 83.20%, T_TST= 82.21%
     E:066/300 #B:015, t=019.42m, L=08.4237, ACC : S_TRN= 99.79%, T_TRN= 77.60%, S_TST= 83.09%, T_TST= 81.99%
     E:067/300 #B:015, t=019.63m, L=08.4257, ACC : S_TRN= 99.95%, T_TRN= 80.31%, S_TST= 83.07%, T_TST= 82.26%
     E:068/300 #B:015, t=019.84m, L=08.4120, ACC : S_TRN= 99.84%, T_TRN= 79.58%, S_TST= 83.05%, T_TST= 82.24%
     E:069/300 #B:015, t=020.05m, L=08.4157, ACC : S_TRN= 99.90%, T_TRN= 80.10%, S_TST= 83.09%, T_TST= 82.04%
     E:070/300 #B:015, t=020.27m, L=08.4140, ACC : S_TRN= 99.95%, T_TRN= 78.75%, S_TST= 83.05%, T_TST= 82.21%
     E:071/300 #B:015, t=020.48m, L=08.4025, ACC : S_TRN= 100.00%, T_TRN= 78.70%, S_TST= 83.11%, T_TST= 82.15%
     E:072/300 #B:015, t=020.67m, L=08.4003, ACC : S_TRN= 100.00%, T_TRN= 78.33%, S_TST= 83.11%, T_TST= 82.07%
     E:073/300 #B:015, t=020.90m, L=08.4048, ACC : S_TRN= 99.95%, T_TRN= 78.96%, S_TST= 83.29%, T_TST= 82.12%
     E:074/300 #B:015, t=021.12m, L=08.3975, ACC : S_TRN= 99.95%, T_TRN= 79.06%, S_TST= 83.14%, T_TST= 82.15%
     E:075/300 #B:015, t=021.34m, L=08.4023, ACC : S_TRN= 100.00%, T_TRN= 81.51%, S_TST= 83.00%, T_TST= 81.99%
     E:076/300 #B:015, t=021.57m, L=08.3934, ACC : S_TRN= 100.00%, T_TRN= 79.53%, S_TST= 83.00%, T_TST= 82.04%
     E:077/300 #B:015, t=021.83m, L=08.4007, ACC : S_TRN= 99.95%, T_TRN= 80.99%, S_TST= 83.11%, T_TST= 81.96%
     E:078/300 #B:015, t=022.10m, L=08.3941, ACC : S_TRN= 99.90%, T_TRN= 79.06%, S_TST= 83.09%, T_TST= 81.85%
     E:079/300 #B:015, t=022.33m, L=08.4022, ACC : S_TRN= 99.90%, T_TRN= 79.48%, S_TST= 83.00%, T_TST= 81.99%
     E:080/300 #B:015, t=022.59m, L=08.3913, ACC : S_TRN= 99.84%, T_TRN= 78.65%, S_TST= 83.05%, T_TST= 81.99%
     E:081/300 #B:015, t=022.85m, L=08.3884, ACC : S_TRN= 100.00%, T_TRN= 80.05%, S_TST= 83.02%, T_TST= 82.07%
     E:082/300 #B:015, t=023.11m, L=08.3932, ACC : S_TRN= 100.00%, T_TRN= 78.28%, S_TST= 83.02%, T_TST= 81.87%
